count,mno,district,popsize,date,farm.type,year,rate,id,Chill_Apr,Chill_May,Chill_Jun,Chill_Jul,Chill_Aug,Chill_Sep,Deficit_Jan,Deficit_Feb,Deficit_Mar,Deficit_Apr,Deficit_May,Deficit_Jun,Deficit_Jul,Deficit_Aug,Deficit_Sep,Deficit_Oct,Deficit_Nov,Deficit_Dec,Frost_Jan,Frost_Feb,Frost_Mar,Frost_Apr,Frost_May,Frost_Jun,Frost_Jul,Frost_Aug,Frost_Sep,Frost_Oct,Frost_Nov,Frost_Dec,Rad_Jan,Rad_Feb,Rad_Mar,Rad_Apr,Rad_May,Rad_Jun,Rad_Jul,Rad_Aug,Rad_Sep,Rad_Oct,Rad_Nov,Rad_Dec,Rain_Jan,Rain_Feb,Rain_Mar,Rain_Apr,Rain_May,Rain_Jun,Rain_Jul,Rain_Aug,Rain_Sep,Rain_Oct,Rain_Nov,Rain_Dec,Raindays_Jan,Raindays_Feb,Raindays_Mar,Raindays_Apr,Raindays_May,Raindays_Jun,Raindays_Jul,Raindays_Aug,Raindays_Sep,Raindays_Oct,Raindays_Nov,Raindays_Dec,RH_Jan,RH_Feb,RH_Mar,RH_Apr,RH_May,RH_Jun,RH_Jul,RH_Aug,RH_Sep,RH_Oct,RH_Nov,RH_Dec,Runoff_Jan,Runoff_Feb,Runoff_Mar,Runoff_Apr,Runoff_May,Runoff_Jun,Runoff_Jul,Runoff_Aug,Runoff_Sep,Runoff_Oct,Runoff_Nov,Runoff_Dec,Sun_Jan,Sun_Feb,Sun_Mar,Sun_Apr,Sun_May,Sun_Jun,Sun_Jul,Sun_Aug,Sun_Sep,Sun_Oct,Sun_Nov,Sun_Dec,Tearth_Jan,Tearth_Feb,Tearth_Mar,Tearth_Apr,Tearth_May,Tearth_Jun,Tearth_Jul,Tearth_Aug,Tearth_Sep,Tearth_Oct,Tearth_Nov,Tearth_Dec,Tgrassmin_Jan,Tgrassmin_Feb,Tgrassmin_Mar,Tgrassmin_Apr,Tgrassmin_May,Tgrassmin_Jun,Tgrassmin_Jul,Tgrassmin_Aug,Tgrassmin_Sep,Tgrassmin_Oct,Tgrassmin_Nov,Tgrassmin_Dec,Tmax_Jan,Tmax_Feb,Tmax_Mar,Tmax_Apr,Tmax_May,Tmax_Jun,Tmax_Jul,Tmax_Aug,Tmax_Sep,Tmax_Oct,Tmax_Nov,Tmax_Dec,Tmean_Jan,Tmean_Feb,Tmean_Mar,Tmean_Apr,Tmean_May,Tmean_Jun,Tmean_Jul,Tmean_Aug,Tmean_Sep,Tmean_Oct,Tmean_Nov,Tmean_Dec,Tmin_Jan,Tmin_Feb,Tmin_Mar,Tmin_Apr,Tmin_May,Tmin_Jun,Tmin_Jul,Tmin_Aug,Tmin_Sep,Tmin_Oct,Tmin_Nov,Tmin_Dec,Tsd_Jan,Tsd_Feb,Tsd_Mar,Tsd_Apr,Tsd_May,Tsd_Jun,Tsd_Jul,Tsd_Aug,Tsd_Sep,Tsd_Oct,Tsd_Nov,Tsd_Dec,VP_Jan,VP_Feb,VP_Mar,VP_Apr,VP_May,VP_Jun,VP_Jul,VP_Aug,VP_Sep,VP_Oct,VP_Nov,VP_Dec
9,5,Auckland,2804,5/1/2004,Cattle,2004,0.0032097,Auckland__2004-05-01,18.5,17,97,166.5,144,56,102.4592,51.9776,60.13745,31.0642,0,0,0,0,0,0,33.99595,30.38185,0,0,0,0.5,0,3,8,6,1,0,0,0,21.279,19.04165,16.5976,12.9252,7.6497,6.07545,7.675,10.7392,12.6615,14.8679,21.3093,18.6976,17.2,63.1,41,28.3,133.2,98.8,88.6,72.4,84.8,75.6,46.05,113.6,5.5,11,13,7,15,18,17,21,20.5,16.5,11,19.5,77.08065,83.625,84.54835,78.55,87.8387,88.5833,88.2581,82.8387,82.1,84.51615,78.2833,79.1129,0,0,0,0,18.1,77.1,62.7,37.55,20.15,8.55,0,0,234.8,208.9,232.4,222.5,150.5,126.6,167.3,193.6,152.4,146.2,237.9,173.2,19.7667,20.7071,19.2258,15.7567,12.9065,10.8333,8.7129,9.0032,10.84,13.7839,16.46,15.9871,-0.9,7.1,6.4,-0.85,0.55,-1.4,-3.8,-5.5,-1.35,1.7,1.1,3.7,22.9226,24.49825,23.58225,20.45335,17.5484,15.5205,13.7629,13.8145,15.215,16.86455,19.4833,18.68335,18.2016,19.73575,18.32255,16.045,13.25645,11.36665,9.2484,9.6774,11.985,13.39515,15.7267,15.05,14.1452,16.57325,14.7871,11.36835,10.17095,8.8182,6.25805,6.1629,7.9667,10.59355,11.1033,11.9764,2.20355,1.6944,1.4802,2.58775,2.0921,1.9587,1.91105,2.0902,1.53265,1.7933,1.7684,1.70465,16.2086,19.262,17.89995,14.4952,13.5666,11.97735,10.43675,10.084,11.5303,13.11,14.06105,13.63025
20,6,Auckland,2804,6/1/2004,Cattle,2004,0.007132668,Auckland__2004-06-01,18.5,4,97,166.5,144,56,102.4592,51.9776,60.13745,31.0642,0.5822,0,0,0,0,0,33.99595,30.38185,0,0,0,0.5,0,3,8,6,1,0,0,0,21.279,19.04165,16.5976,12.9252,7.0763,6.07545,7.675,10.7392,12.6615,14.8679,21.3093,18.6976,17.2,63.1,41,28.3,143,98.8,88.6,72.4,84.8,75.6,46.05,113.6,5.5,11,13,7,18.5,18,17,21,20.5,16.5,11,19.5,77.08065,83.625,84.54835,78.55,90.7097,88.5833,88.2581,82.8387,82.1,84.51615,78.2833,79.1129,0,0,0,0,3.9,77.1,62.7,37.55,20.15,8.55,0,0,234.8,208.9,232.4,222.5,134.9,126.6,167.3,193.6,152.4,146.2,237.9,173.2,19.7667,20.7071,19.2258,15.7567,13.3935,10.8333,8.7129,9.0032,10.84,13.7839,16.46,15.9871,-0.9,7.1,6.4,-0.85,1.1,-1.4,-3.8,-5.5,-1.35,1.7,1.1,3.7,22.9226,24.49825,23.58225,20.45335,18.33545,15.5205,13.7629,13.8145,15.215,16.86455,19.4833,18.68335,18.2016,19.73575,18.32255,16.045,14.21775,11.36665,9.2484,9.6774,11.985,13.39515,15.7267,15.05,14.1452,16.57325,14.7871,11.36835,11.23065,8.8182,6.25805,6.1629,7.9667,10.59355,11.1033,11.9764,2.20355,1.6944,1.4802,2.58775,1.99255,1.9587,1.91105,2.0902,1.53265,1.7933,1.7684,1.70465,16.2086,19.262,17.89995,14.4952,14.82905,11.97735,10.43675,10.084,11.5303,13.11,14.06105,13.63025
6,7,Auckland,2804,7/1/2004,Cattle,2004,0.0021398,Auckland__2004-07-01,18.5,4,55,166.5,144,56,102.4592,51.9776,60.13745,31.0642,0.5822,0,0,0,0,0,33.99595,30.38185,0,0,0,0.5,0,1.5,8,6,1,0,0,0,21.279,19.04165,16.5976,12.9252,7.0763,6.53935,7.675,10.7392,12.6615,14.8679,21.3093,18.6976,17.2,63.1,41,28.3,143,108.7,88.6,72.4,84.8,75.6,46.05,113.6,5.5,11,13,7,18.5,17,17,21,20.5,16.5,11,19.5,77.08065,83.625,84.54835,78.55,90.7097,87.76665,88.2581,82.8387,82.1,84.51615,78.2833,79.1129,0,0,0,0,3.9,83.4,62.7,37.55,20.15,8.55,0,0,234.8,208.9,232.4,222.5,134.9,140.5,167.3,193.6,152.4,146.2,237.9,173.2,19.7667,20.7071,19.2258,15.7567,13.3935,10.2033,8.7129,9.0032,10.84,13.7839,16.46,15.9871,-0.9,7.1,6.4,-0.85,1.1,-2.55,-3.8,-5.5,-1.35,1.7,1.1,3.7,22.9226,24.49825,23.58225,20.45335,18.33545,15.17165,13.7629,13.8145,15.215,16.86455,19.4833,18.68335,18.2016,19.73575,18.32255,16.045,14.21775,11.0033,9.2484,9.6774,11.985,13.39515,15.7267,15.05,14.1452,16.57325,14.7871,11.36835,11.23065,8.29665,6.25805,6.1629,7.9667,10.59355,11.1033,11.9764,2.20355,1.6944,1.4802,2.58775,1.99255,1.745,1.91105,2.0902,1.53265,1.7933,1.7684,1.70465,16.2086,19.262,17.89995,14.4952,14.82905,11.6194,10.43675,10.084,11.5303,13.11,14.06105,13.63025
3,8,Auckland,2804,8/1/2004,Cattle,2004,0.0010699,Auckland__2004-08-01,18.5,4,55,44.5,144,56,102.4592,51.9776,60.13745,31.0642,0.5822,0,0,0,0,0,33.99595,30.38185,0,0,0,0.5,0,1.5,1.5,6,1,0,0,0,21.279,19.04165,16.5976,12.9252,7.0763,6.53935,6.37,10.7392,12.6615,14.8679,21.3093,18.6976,17.2,63.1,41,28.3,143,108.7,150.3,72.4,84.8,75.6,46.05,113.6,5.5,11,13,7,18.5,17,21.5,21,20.5,16.5,11,19.5,77.08065,83.625,84.54835,78.55,90.7097,87.76665,89.7097,82.8387,82.1,84.51615,78.2833,79.1129,0,0,0,0,3.9,83.4,122.55,37.55,20.15,8.55,0,0,234.8,208.9,232.4,222.5,134.9,140.5,120.7,193.6,152.4,146.2,237.9,173.2,19.7667,20.7071,19.2258,15.7567,13.3935,10.2033,10.0968,9.0032,10.84,13.7839,16.46,15.9871,-0.9,7.1,6.4,-0.85,1.1,-2.55,-1.1,-5.5,-1.35,1.7,1.1,3.7,22.9226,24.49825,23.58225,20.45335,18.33545,15.17165,15.01125,13.8145,15.215,16.86455,19.4833,18.68335,18.2016,19.73575,18.32255,16.045,14.21775,11.0033,11.2242,9.6774,11.985,13.39515,15.7267,15.05,14.1452,16.57325,14.7871,11.36835,11.23065,8.29665,8.6129,6.1629,7.9667,10.59355,11.1033,11.9764,2.20355,1.6944,1.4802,2.58775,1.99255,1.745,1.76115,2.0902,1.53265,1.7933,1.7684,1.70465,16.2086,19.262,17.89995,14.4952,14.82905,11.6194,12.02465,10.084,11.5303,13.11,14.06105,13.63025
2,9,Auckland,2804,9/1/2004,Cattle,2004,0.000713267,Auckland__2004-09-01,18.5,4,55,44.5,68.5,56,102.4592,51.9776,60.13745,31.0642,0.5822,0,0,0,0,0,33.99595,30.38185,0,0,0,0.5,0,1.5,1.5,1.5,1,0,0,0,21.279,19.04165,16.5976,12.9252,7.0763,6.53935,6.37,10.88095,12.6615,14.8679,21.3093,18.6976,17.2,63.1,41,28.3,143,108.7,150.3,35.9,84.8,75.6,46.05,113.6,5.5,11,13,7,18.5,17,21.5,10.5,20.5,16.5,11,19.5,77.08065,83.625,84.54835,78.55,90.7097,87.76665,89.7097,83.40325,82.1,84.51615,78.2833,79.1129,0,0,0,0,3.9,83.4,122.55,10.4,20.15,8.55,0,0,234.8,208.9,232.4,222.5,134.9,140.5,120.7,204.4,152.4,146.2,237.9,173.2,19.7667,20.7071,19.2258,15.7567,13.3935,10.2033,10.0968,9.8258,10.84,13.7839,16.46,15.9871,-0.9,7.1,6.4,-0.85,1.1,-2.55,-1.1,-1.6,-1.35,1.7,1.1,3.7,22.9226,24.49825,23.58225,20.45335,18.33545,15.17165,15.01125,16.1355,15.215,16.86455,19.4833,18.68335,18.2016,19.73575,18.32255,16.045,14.21775,11.0033,11.2242,11.2516,11.985,13.39515,15.7267,15.05,14.1452,16.57325,14.7871,11.36835,11.23065,8.29665,8.6129,7.36935,7.9667,10.59355,11.1033,11.9764,2.20355,1.6944,1.4802,2.58775,1.99255,1.745,1.76115,1.37765,1.53265,1.7933,1.7684,1.70465,16.2086,19.262,17.89995,14.4952,14.82905,11.6194,12.02465,11.1487,11.5303,13.11,14.06105,13.63025
0,10,Auckland,2804,10/1/2004,Cattle,2004,0,Auckland__2004-10-01,18.5,4,55,44.5,68.5,17,102.4592,51.9776,60.13745,31.0642,0.5822,0,0,0,0,0,33.99595,30.38185,0,0,0,0.5,0,1.5,1.5,1.5,0,0,0,0,21.279,19.04165,16.5976,12.9252,7.0763,6.53935,6.37,10.88095,12.65065,14.8679,21.3093,18.6976,17.2,63.1,41,28.3,143,108.7,150.3,35.9,78,75.6,46.05,113.6,5.5,11,13,7,18.5,17,21.5,10.5,13,16.5,11,19.5,77.08065,83.625,84.54835,78.55,90.7097,87.76665,89.7097,83.40325,80.73335,84.51615,78.2833,79.1129,0,0,0,0,3.9,83.4,122.55,10.4,9.3,8.55,0,0,234.8,208.9,232.4,222.5,134.9,140.5,120.7,204.4,149.8,146.2,237.9,173.2,19.7667,20.7071,19.2258,15.7567,13.3935,10.2033,10.0968,9.8258,12.9333,13.7839,16.46,15.9871,-0.9,7.1,6.4,-0.85,1.1,-2.55,-1.1,-1.6,1.45,1.7,1.1,3.7,22.9226,24.49825,23.58225,20.45335,18.33545,15.17165,15.01125,16.1355,17.47835,16.86455,19.4833,18.68335,18.2016,19.73575,18.32255,16.045,14.21775,11.0033,11.2242,11.2516,13.615,13.39515,15.7267,15.05,14.1452,16.57325,14.7871,11.36835,11.23065,8.29665,8.6129,7.36935,9.6833,10.59355,11.1033,11.9764,2.20355,1.6944,1.4802,2.58775,1.99255,1.745,1.76115,1.37765,1.7606,1.7933,1.7684,1.70465,16.2086,19.262,17.89995,14.4952,14.82905,11.6194,12.02465,11.1487,12.60735,13.11,14.06105,13.63025
1,11,Auckland,2804,11/1/2004,Cattle,2004,0.000356633,Auckland__2004-11-01,18.5,4,55,44.5,68.5,17,102.4592,51.9776,60.13745,31.0642,0.5822,0,0,0,0,8.3624,33.99595,30.38185,0,0,0,0.5,0,1.5,1.5,1.5,0,0,0,0,21.279,19.04165,16.5976,12.9252,7.0763,6.53935,6.37,10.88095,12.65065,14.64755,21.3093,18.6976,17.2,63.1,41,28.3,143,108.7,150.3,35.9,78,143.3,46.05,113.6,5.5,11,13,7,18.5,17,21.5,10.5,13,14.5,11,19.5,77.08065,83.625,84.54835,78.55,90.7097,87.76665,89.7097,83.40325,80.73335,80.5484,78.2833,79.1129,0,0,0,0,3.9,83.4,122.55,10.4,9.3,55.3,0,0,234.8,208.9,232.4,222.5,134.9,140.5,120.7,204.4,149.8,169.5,237.9,173.2,19.7667,20.7071,19.2258,15.7567,13.3935,10.2033,10.0968,9.8258,12.9333,14.2161,16.46,15.9871,-0.9,7.1,6.4,-0.85,1.1,-2.55,-1.1,-1.6,1.45,2.9,1.1,3.7,22.9226,24.49825,23.58225,20.45335,18.33545,15.17165,15.01125,16.1355,17.47835,18.4468,19.4833,18.68335,18.2016,19.73575,18.32255,16.045,14.21775,11.0033,11.2242,11.2516,13.615,14.2871,15.7267,15.05,14.1452,16.57325,14.7871,11.36835,11.23065,8.29665,8.6129,7.36935,9.6833,10.59675,11.1033,11.9764,2.20355,1.6944,1.4802,2.58775,1.99255,1.745,1.76115,1.37765,1.7606,1.19005,1.7684,1.70465,16.2086,19.262,17.89995,14.4952,14.82905,11.6194,12.02465,11.1487,12.60735,13.14785,14.06105,13.63025
3,12,Auckland,2804,12/1/2004,Cattle,2004,0.0010699,Auckland__2004-12-01,18.5,4,55,44.5,68.5,17,102.4592,51.9776,60.13745,31.0642,0.5822,0,0,0,0,8.3624,74.463,30.38185,0,0,0,0.5,0,1.5,1.5,1.5,0,0,0,0,21.279,19.04165,16.5976,12.9252,7.0763,6.53935,6.37,10.88095,12.65065,14.64755,20.20815,18.6976,17.2,63.1,41,28.3,143,108.7,150.3,35.9,78,143.3,27.8,113.6,5.5,11,13,7,18.5,17,21.5,10.5,13,14.5,8.5,19.5,77.08065,83.625,84.54835,78.55,90.7097,87.76665,89.7097,83.40325,80.73335,80.5484,71.5667,79.1129,0,0,0,0,3.9,83.4,122.55,10.4,9.3,55.3,0,0,234.8,208.9,232.4,222.5,134.9,140.5,120.7,204.4,149.8,169.5,215.4,173.2,19.7667,20.7071,19.2258,15.7567,13.3935,10.2033,10.0968,9.8258,12.9333,14.2161,16.5,15.9871,-0.9,7.1,6.4,-0.85,1.1,-2.55,-1.1,-1.6,1.45,2.9,1.6,3.7,22.9226,24.49825,23.58225,20.45335,18.33545,15.17165,15.01125,16.1355,17.47835,18.4468,19.66,18.68335,18.2016,19.73575,18.32255,16.045,14.21775,11.0033,11.2242,11.2516,13.615,14.2871,15.82165,15.05,14.1452,16.57325,14.7871,11.36835,11.23065,8.29665,8.6129,7.36935,9.6833,10.59675,11.495,11.9764,2.20355,1.6944,1.4802,2.58775,1.99255,1.745,1.76115,1.37765,1.7606,1.19005,1.3869,1.70465,16.2086,19.262,17.89995,14.4952,14.82905,11.6194,12.02465,11.1487,12.60735,13.14785,12.9033,13.63025
2,1,Auckland,2771,1/1/2005,Cattle,2005,0.000721761,Auckland__2005-01-01,18.5,4,55,44.5,68.5,17,102.4592,51.9776,60.13745,31.0642,0.5822,0,0,0,0,8.3624,74.463,64.9163,0,0,0,0.5,0,1.5,1.5,1.5,0,0,0,0,21.279,19.04165,16.5976,12.9252,7.0763,6.53935,6.37,10.88095,12.65065,14.64755,20.20815,20.8208,17.2,63.1,41,28.3,143,108.7,150.3,35.9,78,143.3,27.8,84,5.5,11,13,7,18.5,17,21.5,10.5,13,14.5,8.5,15.5,77.08065,83.625,84.54835,78.55,90.7097,87.76665,89.7097,83.40325,80.73335,80.5484,71.5667,80.74195,0,0,0,0,3.9,83.4,122.55,10.4,9.3,55.3,0,0,234.8,208.9,232.4,222.5,134.9,140.5,120.7,204.4,149.8,169.5,215.4,220,19.7667,20.7071,19.2258,15.7567,13.3935,10.2033,10.0968,9.8258,12.9333,14.2161,16.5,19.271,-0.9,7.1,6.4,-0.85,1.1,-2.55,-1.1,-1.6,1.45,2.9,1.6,5.95,22.9226,24.49825,23.58225,20.45335,18.33545,15.17165,15.01125,16.1355,17.47835,18.4468,19.66,22.33065,18.2016,19.73575,18.32255,16.045,14.21775,11.0033,11.2242,11.2516,13.615,14.2871,15.82165,18.7081,14.1452,16.57325,14.7871,11.36835,11.23065,8.29665,8.6129,7.36935,9.6833,10.59675,11.495,15.26775,2.20355,1.6944,1.4802,2.58775,1.99255,1.745,1.76115,1.37765,1.7606,1.19005,1.3869,1.71585,16.2086,19.262,17.89995,14.4952,14.82905,11.6194,12.02465,11.1487,12.60735,13.14785,12.9033,17.4366
8,2,Auckland,2771,2/1/2005,Cattle,2005,0.002887044,Auckland__2005-02-01,18.5,4,55,44.5,68.5,17,87.93395,51.9776,60.13745,31.0642,0.5822,0,0,0,0,8.3624,74.463,64.9163,0,0,0,0.5,0,1.5,1.5,1.5,0,0,0,0,20.64595,19.04165,16.5976,12.9252,7.0763,6.53935,6.37,10.88095,12.65065,14.64755,20.20815,20.8208,63.7,63.1,41,28.3,143,108.7,150.3,35.9,78,143.3,27.8,84,10,11,13,7,18.5,17,21.5,10.5,13,14.5,8.5,15.5,74.96775,83.625,84.54835,78.55,90.7097,87.76665,89.7097,83.40325,80.73335,80.5484,71.5667,80.74195,0,0,0,0,3.9,83.4,122.55,10.4,9.3,55.3,0,0,234.4,208.9,232.4,222.5,134.9,140.5,120.7,204.4,149.8,169.5,215.4,220,20.1323,20.7071,19.2258,15.7567,13.3935,10.2033,10.0968,9.8258,12.9333,14.2161,16.5,19.271,5.3,7.1,6.4,-0.85,1.1,-2.55,-1.1,-1.6,1.45,2.9,1.6,5.95,23.6532,24.49825,23.58225,20.45335,18.33545,15.17165,15.01125,16.1355,17.47835,18.4468,19.66,22.33065,19.43225,19.73575,18.32255,16.045,14.21775,11.0033,11.2242,11.2516,13.615,14.2871,15.82165,18.7081,15.39835,16.57325,14.7871,11.36835,11.23065,8.29665,8.6129,7.36935,9.6833,10.59675,11.495,15.26775,1.97745,1.6944,1.4802,2.58775,1.99255,1.745,1.76115,1.37765,1.7606,1.19005,1.3869,1.71585,17.07295,19.262,17.89995,14.4952,14.82905,11.6194,12.02465,11.1487,12.60735,13.14785,12.9033,17.4366
